===== 报告生成时生效的阈值配置 =====
配置项,数值
温度下限 (℃),15
温度上限 (℃),30
湿度下限 (%),30
湿度上限 (%),70
温度漂移阈值 (℃),2
湿度漂移阈值 (%),10
断点时间阈值 (秒),600

===== 异常明细 =====
异常ID,传感器,传感器ID,类型,描述,检测时间,读数时间,温度,湿度,当前状态,处理人,处理原因,标注时间,是否回滚,回滚原因
a_mqioqsjxf0,常温试剂柜,SENS-004,温度漂移,温度突变 4.54℃，超过阈值 2℃（前值 17.84℃）,2026-06-17 23:11:42,2025-05-07T15:50:00.000Z,22.38,38.1,待处理,,,,否,
a_mqioqsjx18,常温试剂柜,SENS-004,温度漂移,温度突变 3.80℃，超过阈值 2℃（前值 21.64℃）,2026-06-17 23:11:42,2025-05-07T15:45:00.000Z,17.84,40.1,待处理,,,,否,
a_mqioqsjx14,常温试剂柜,SENS-004,温度漂移,温度突变 4.60℃，超过阈值 2℃（前值 26.24℃）,2026-06-17 23:11:42,2025-05-07T15:40:00.000Z,21.64,39.6,待处理,,,,否,
a_mqioqsjx20,常温试剂柜,SENS-004,温度漂移,温度突变 4.39℃，超过阈值 2℃（前值 21.85℃）,2026-06-17 23:11:42,2025-05-07T15:35:00.000Z,26.24,40.2,待处理,,,,否,
a_mqioqsjx33,常温试剂柜,SENS-004,湿度漂移,湿度突变 18.60%，超过阈值 10%（前值 58.00%）,2026-06-17 23:11:42,2025-05-07T14:10:00.000Z,21.73,39.4,待处理,,,,否,
a_mqioqsjxef,常温试剂柜,SENS-004,湿度漂移,湿度突变 18.00%，超过阈值 10%（前值 40.00%）,2026-06-17 23:11:42,2025-05-07T14:05:00.000Z,22.03,58,待处理,,,,否,
a_mqioqsjxaf,常温试剂柜,SENS-004,湿度漂移,湿度突变 18.30%，超过阈值 10%（前值 22.00%）,2026-06-17 23:11:42,2025-05-07T13:45:00.000Z,22.35,40.3,待处理,,,,否,
a_mqioqsjw0d,常温试剂柜,SENS-004,湿度越下限,湿度 22.00% 低于下限 30%,2026-06-17 23:11:42,2025-05-07T13:40:00.000Z,22.31,22,待处理,,,,否,
a_mqioqsjwf3,常温试剂柜,SENS-004,湿度漂移,湿度突变 18.60%，超过阈值 10%（前值 40.60%）,2026-06-17 23:11:42,2025-05-07T13:40:00.000Z,22.31,22,待处理,,,,否,
a_mqioqsjw94,常温试剂柜,SENS-004,温度漂移,温度突变 2.31℃，超过阈值 2℃（前值 19.55℃）,2026-06-17 23:11:42,2025-05-07T12:45:00.000Z,21.86,41.7,待处理,,,,否,
a_mqioqsjw4a,常温试剂柜,SENS-004,温度漂移,温度突变 2.50℃，超过阈值 2℃（前值 22.05℃）,2026-06-17 23:11:42,2025-05-07T12:40:00.000Z,19.55,39.4,待处理,,,,否,
a_mqioqsjw5a,常温试剂柜,SENS-004,温度漂移,温度突变 4.12℃，超过阈值 2℃（前值 26.17℃）,2026-06-17 23:11:42,2025-05-07T12:35:00.000Z,22.05,39.5,待处理,,,,否,
a_mqioqsjwd4,常温试剂柜,SENS-004,温度漂移,温度突变 4.00℃，超过阈值 2℃（前值 22.17℃）,2026-06-17 23:11:42,2025-05-07T12:30:00.000Z,26.17,40.6,待处理,,,,否,
a_mqioqsjw0e,常温试剂柜,SENS-004,湿度漂移,湿度突变 16.40%，超过阈值 10%（前值 58.00%）,2026-06-17 23:11:42,2025-05-07T11:50:00.000Z,22.2,41.6,待处理,,,,否,
a_mqioqsjw35,常温试剂柜,SENS-004,湿度漂移,湿度突变 19.50%，超过阈值 10%（前值 38.50%）,2026-06-17 23:11:42,2025-05-07T11:45:00.000Z,22.07,58,待处理,,,,否,
a_mqioqsjv74,常温试剂柜,SENS-004,温度漂移,温度突变 3.97℃，超过阈值 2℃（前值 17.83℃）,2026-06-17 23:11:42,2025-05-07T09:45:00.000Z,21.8,41.2,待处理,,,,否,
a_mqioqsjv26,常温试剂柜,SENS-004,温度漂移,温度突变 4.30℃，超过阈值 2℃（前值 22.13℃）,2026-06-17 23:11:42,2025-05-07T09:40:00.000Z,17.83,38.5,待处理,,,,否,
a_mqioqsjve9,常温试剂柜,SENS-004,温度漂移,温度突变 3.46℃，超过阈值 2℃（前值 25.52℃）,2026-06-17 23:11:42,2025-05-07T09:30:00.000Z,22.06,39.2,待处理,,,,否,
a_mqioqsjva3,常温试剂柜,SENS-004,温度漂移,温度突变 3.40℃，超过阈值 2℃（前值 22.12℃）,2026-06-17 23:11:42,2025-05-07T09:25:00.000Z,25.52,40.1,待处理,,,,否,
a_mqioqsjv34,常温试剂柜,SENS-004,湿度漂移,湿度突变 16.50%，超过阈值 10%（前值 58.00%）,2026-06-17 23:11:42,2025-05-07T06:55:00.000Z,21.71,41.5,待处理,,,,否,
