异常ID,传感器,传感器ID,类型,描述,检测时间,读数时间,温度,湿度,当前状态,处理人,处理原因,标注时间,是否回滚,回滚原因
a_mqiblf5578,一号冷库,SENS-001,温度越下限,温度 4.32℃ 低于下限 15℃,2026-06-17 17:03:37,2026-06-17T09:03:35.000Z,4.32,53.4,已接受,??,"????,???????",2026-06-17 17:19:16,否,

===== 报告生成时生效的阈值配置 =====
# 导出时间: 2026-06-17T23:53:57.386Z
# 筛选条件: 传感器=SENS-001, 状态=ACCEPTED, 时间范围={}
配置项,数值,说明
温度下限 (℃),2,读数温度低于此值判定为越下限异常
温度上限 (℃),40,读数温度高于此值判定为越上限异常
湿度下限 (%),30,读数湿度低于此值判定为越下限异常
湿度上限 (%),70,读数湿度高于此值判定为越上限异常
温度漂移阈值 (℃),100,相邻读数温度差超过判定为漂移异常
湿度漂移阈值 (%),10,相邻读数湿度差超过判定为漂移异常
断点时间阈值 (秒),10000,相邻读数时间间隔超过判定为数据断点

===== 标注历史 =====
标注ID,传感器,异常类型,读数时间,状态,处理人,原因,标注时间,是否已回滚,回滚原因
n_mqic5k0gac,一号冷库,温度越下限,2026-06-17T09:03:35.000Z,已接受,??,"????,???????",2026-06-17 17:19:16,否,
