异常ID,传感器,传感器ID,类型,描述,检测时间,读数时间,温度,湿度,当前状态,处理人,处理原因,标注时间,是否回滚,回滚原因
a_mqj784cqae,一号冷库,SENS-001,温度越下限,温度 4.12℃ 低于下限 15℃,2026-06-18 07:49:04,2025-05-07T15:55:00.000Z,4.12,56.9,已接受,回归测试员,第1条已接受,2026-06-18 07:49:08,否,
a_mqj784cq47,一号冷库,SENS-001,温度越下限,温度 4.36℃ 低于下限 15℃,2026-06-18 07:49:04,2025-05-07T15:50:00.000Z,4.36,55.8,已接受,回归测试员,第2条已接受,2026-06-18 07:49:08,否,
a_mqj784cq90,一号冷库,SENS-001,温度漂移,温度突变 3.79℃，超过阈值 2℃（前值 0.57℃）,2026-06-18 07:49:04,2025-05-07T15:50:00.000Z,4.36,55.8,已接受,回归测试员,第3条已接受,2026-06-18 07:49:08,否,
a_mqj784cp34,一号冷库,SENS-001,温度越下限,温度 0.57℃ 低于下限 15℃,2026-06-18 07:49:04,2025-05-07T15:45:00.000Z,0.57,55.4,已接受,跨重启验证,跨重启验证：这条必须保留,2026-06-18 07:49:09,否,
a_mqj784cq13,一号冷库,SENS-001,温度漂移,温度突变 3.93℃，超过阈值 2℃（前值 4.50℃）,2026-06-18 07:49:04,2025-05-07T15:45:00.000Z,0.57,55.4,待处理,,,,否,
a_mqj784cp30,一号冷库,SENS-001,温度越下限,温度 4.50℃ 低于下限 15℃,2026-06-18 07:49:04,2025-05-07T15:40:00.000Z,4.5,53.9,待处理,,,,否,
a_mqj784cp18,一号冷库,SENS-001,温度漂移,温度突变 4.47℃，超过阈值 2℃（前值 8.97℃）,2026-06-18 07:49:04,2025-05-07T15:40:00.000Z,4.5,53.9,待处理,,,,否,
a_mqj784cp0b,一号冷库,SENS-001,温度越下限,温度 8.97℃ 低于下限 15℃,2026-06-18 07:49:04,2025-05-07T15:35:00.000Z,8.97,55.6,待处理,,,,否,
a_mqj784cp63,一号冷库,SENS-001,温度漂移,温度突变 4.80℃，超过阈值 2℃（前值 4.17℃）,2026-06-18 07:49:04,2025-05-07T15:35:00.000Z,8.97,55.6,待处理,,,,否,
a_mqj784cocd,一号冷库,SENS-001,温度越下限,温度 4.17℃ 低于下限 15℃,2026-06-18 07:49:04,2025-05-07T15:30:00.000Z,4.17,54.9,待处理,,,,否,
a_mqj784co15,一号冷库,SENS-001,温度越下限,温度 4.52℃ 低于下限 15℃,2026-06-18 07:49:04,2025-05-07T15:25:00.000Z,4.52,55.9,待处理,,,,否,
a_mqj784co03,一号冷库,SENS-001,温度越下限,温度 4.26℃ 低于下限 15℃,2026-06-18 07:49:04,2025-05-07T15:20:00.000Z,4.26,53.4,待处理,,,,否,
a_mqj784co1a,一号冷库,SENS-001,温度越下限,温度 4.32℃ 低于下限 15℃,2026-06-18 07:49:04,2025-05-07T15:15:00.000Z,4.32,53.9,待处理,,,,否,
